"","datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"103","9/21/2003 22:50","abrantes (portugal)","","","sphere","10","10 seconds","It was moving slowly and just disapeared.","9/28/2003","39.462105",-8.198648
"104","9/26/2010 21:20","almeria (spain)","","","fireball","60","1 minute","very bright orange light in the sky.","11/21/2010","36.834047",-2.463714
"105","9/29/2012 01:04","portugal","","","other","240","3-4 minutes","Boomerang shaped object or light traveling extremely fast in Lisbon&#44 Portugal.","10/30/2012","39.399835",-8.22491
"106","1/1/2008 24:00","grand canary island","","","circle","600.000","10 mins","7 bright lights flying very close together.  ((NUFORC Note:  Possible party lanterns&#44 but that is a guess.  Many other reports.  PD))","1/21/2008","27.920220",-15.547437
"107","12/12/2008 23:57","los cristianos (tenerife)","","","triangle","60.000","1 minute","Triangle of lights flying silent&#44 faster than an helicopter.","1/10/2009","28.051200",-16.709685
"108","2/4/2003 22:30","playa del cura (grand canaria island)","","","light","1800","30 minutes approx","Two bright reddish lights appearing horizontally in the night sky off the coast of Gran Canaria repaced 2 or 3 times by similar objects","4/22/2003","27.795643",-15.733735
"109","4/11/2003 09:30","los realejos (tenerife island/spain)","","","oval","20","00:00:20","a oval craft  moved in oposite direction&#180;s with no lights and no noise.","4/22/2003","28.385473",-16.584196
"110","6/13/2008 13:00","playa de las americas (spain)","","","cigar","1","1 second max","Incredibly fast object moving across the horizon in a fraction of a second.","7/5/2008","28.057143",-16.729709
"111","7/10/2008 18:00","lanzarote (canary islands)","","","other","240","3-4 minutes","2 witnesses. 4-5 Minutes.  not illusion. did not dissapear behind horizon. Canary Islands second ufo incident.","8/5/2009","29.046854",-13.589973
"112","7/19/2009 00:00","costa adeje (tenerife)","","","triangle","10","5-10 seconds","zig zag across clear sky covering the full sky in a few seconds","8/5/2009","28.076686",-16.731949
"113","8/18/2013 12:40","tenerife south airport (tenerife)","","","disk","120","2 minutes","It was a greyish black saucer hovering over Tenerife south airport that moved at supersonic speed.","9/9/2013","28.045772",-16.576216
"114","9/18/2002 18:00","tenerife (canary islands)","","","circle","3600","1hour","See photos sent to your email address","9/28/2002","28.291564",-16.62913
